Department;Expense Type;Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
Sales;Software;2020;$71,093,649;$69,761,443;$67,749,499;$83,659,411;$50,706,283;$74,230,386;$51,880,363;$58,898,540;$56,982,904;$67,960,764;$58,782,343;$65,096,491
Human Resources;Software;2020;($34,103,526);($30,206,863);($27,470,575);($34,682,066);($21,826,243);($32,436,605);($23,222,375);($28,728,685);($23,629,340);($28,163,573);($24,647,818);($28,092,094)
Commissions;Software;2020;($3,016,900);($2,897,074);($2,761,210);($3,560,904);($2,517,220);($3,437,933);($2,249,876);($2,890,523);($2,817,192);($3,178,807);($2,858,642);($2,855,070)
Payroll;Software;2020;($8,603,051);($8,541,760);($7,322,344);($9,801,852);($5,175,406);($9,241,021);($5,986,060);($6,079,566);($5,882,738);($8,279,558);($7,285,772);($6,906,703)
Travel & Entertainment;Software;2020;($796,316);($740,890);($771,325);($1,023,766);($537,167);($840,678);($627,016);($672,096);($687,082);($827,969);($652,417);($684,807)
Software Engineering;Software;2020;($3,002,990);($3,340,409);($3,004,524);($3,551,194);($2,323,218);($3,371,500);($2,449,904);($2,845,127);($2,572,883);($3,307,355);($2,605,638);($2,647,248)
Consulting;Software;2020;($4,083,940);($4,181,857);($4,200,785);($4,354,377);($2,601,329);($4,369,202);($2,990,522);($3,089,502);($3,010,004);($3,493,197);($3,343,278);($3,550,075)
Marketing;Software;2020;($1,468,157);($1,469,241);($1,405,114);($1,822,159);($1,017,235);($1,738,189);($1,064,356);($1,323,706);($1,303,816);($1,536,288);($1,447,553);($1,519,478)
Sales;Advertising;2020;$19,906,222;$18,137,975;$19,647,355;$25,097,823;$10,648,319;$21,526,812;$14,526,502;$16,491,591;$16,525,042;$13,592,153;$14,695,586;$13,019,298
Human Resources;Advertising;2020;($9,592,107);($9,049,303);($9,807,183);($11,464,436);($4,745,875);($10,693,878);($6,229,151);($7,884,523);($8,201,633);($5,539,328);($6,939,494);($6,033,112)
Commissions;Advertising;2020;($804,051);($766,774);($921,681);($1,085,414);($463,729);($1,036,334);($711,009);($706,193);($784,668);($633,819);($678,505);($631,242)
Payroll;Advertising;2020;($2,107,365);($2,071,573);($2,428,629);($2,973,881);($1,174,690);($2,393,657);($1,495,456);($2,058,910);($1,881,183);($1,641,870);($1,587,200);($1,436,411)
Travel & Entertainment;Advertising;2020;($211,617);($211,295);($229,589);($270,401);($122,946);($258,829);($176,747);($187,172);($194,172);($161,178);($149,018);($141,587)
Software Engineering;Advertising;2020;($882,849);($828,192);($913,737);($1,198,314);($519,107);($889,744);($625,608);($818,157);($764,727);($613,550);($625,269);($540,653)
Consulting;Advertising;2020;($1,206,445);($976,986);($990,981);($1,537,362);($578,191);($1,230,978);($824,107);($991,865);($928,975);($794,276);($738,682);($726,502)
Marketing;Advertising;2020;($405,268);($427,770);($436,628);($571,749);($215,818);($475,706);($313,756);($370,356);($361,297);($302,763);($310,799);($262,708)
Sales;Hardware;2020;$23,460,904;$23,718,891;$24,389,820;$26,771,012;$19,268,388;$25,238,331;$19,195,734;$20,614,489;$21,083,674;$24,465,875;$19,398,173;$23,434,737
Human Resources;Hardware;2020;($11,301,138);($11,040,566);($11,385,210);($12,065,519);($8,004,994);($11,169,399);($8,198,056);($9,583,888);($8,854,962);($10,326,236);($8,135,464);($9,435,110)
Commissions;Hardware;2020;($1,040,217);($1,037,564);($1,012,661);($1,187,032);($888,831);($1,025,650);($897,572);($943,461);($945,482);($1,126,584);($946,140);($985,301)
Payroll;Hardware;2020;($2,686,116);($2,811,436);($2,564,638);($3,193,324);($2,094,388);($2,712,239);($2,266,614);($2,314,678);($2,597,975);($3,028,352);($2,170,564);($2,619,732)
Travel & Entertainment;Hardware;2020;($261,109);($251,233);($284,032);($274,954);($222,389);($302,896);($215,682);($212,824);($237,617);($281,077);($230,799);($255,866)
Software Engineering;Hardware;2020;($1,079,788);($967,463);($1,074,051);($1,258,729);($829,188);($1,219,308);($868,457);($1,002,976);($929,444);($984,727);($895,091);($998,052)
Consulting;Hardware;2020;($1,259,836);($1,466,091);($1,329,954);($1,342,208);($968,525);($1,551,135);($1,060,193);($1,219,376);($1,176,567);($1,460,487);($1,009,016);($1,300,408)
Marketing;Hardware;2020;($565,050);($523,149);($596,925);($643,179);($442,670);($528,793);($428,292);($448,126);($442,125);($526,927);($439,699);($491,968)
Sales;Software;2021;$59,639,063;$63,214,286;$68,906,761;$89,830,559;$68,972,328;$59,933,044;$72,743,937;$88,182,249;$78,099,559;$53,303,092;$86,545,338;$71,448,927
Human Resources;Software;2021;($23,973,231);($30,015,539);($31,134,647);($40,970,359);($30,502,322);($27,410,189);($31,991,409);($42,313,803);($36,050,532);($22,452,316);($37,931,056);($34,824,020)
Commissions;Software;2021;($2,750,475);($2,995,013);($3,278,513);($4,096,853);($3,074,312);($2,633,099);($3,191,085);($3,613,606);($3,551,148);($2,501,128);($4,117,957);($2,909,146)
Payroll;Software;2021;($6,051,302);($6,651,645);($8,229,415);($9,866,087);($7,274,833);($7,190,572);($8,102,482);($10,459,385);($8,592,628);($6,623,440);($9,176,467);($8,483,908)
Travel & Entertainment;Software;2021;($717,745);($784,976);($740,504);($1,034,005);($808,709);($686,323);($731,485);($990,377);($910,664);($637,021);($1,007,342);($861,790)
Software Engineering;Software;2021;($2,960,261);($2,719,473);($2,866,789);($4,414,681);($3,351,655);($2,840,401);($3,326,958);($3,812,188);($3,316,582);($2,454,320);($4,133,391);($3,270,907)
Consulting;Software;2021;($3,649,541);($3,533,553);($3,458,216);($5,592,271);($4,005,701);($3,358,984);($3,687,848);($4,759,089);($3,918,876);($2,669,925);($4,358,844);($3,840,200)
Marketing;Software;2021;($1,367,303);($1,548,216);($1,696,682);($1,972,953);($1,689,063);($1,441,599);($1,643,564);($1,883,983);($1,926,635);($1,133,926);($1,930,167);($1,647,005)
Sales;Advertising;2021;$11,927,813;$13,275,000;$14,470,420;$24,254,251;$18,622,529;$14,383,931;$15,276,227;$25,572,852;$18,743,894;$14,391,835;$22,501,788;$15,718,764
Human Resources;Advertising;2021;($5,053,779);($6,371,606);($6,108,911);($11,077,101);($9,193,559);($6,219,209);($7,314,288);($10,632,631);($7,663,770);($5,778,185);($10,821,067);($7,450,108)
Commissions;Advertising;2021;($492,817);($565,371);($708,801);($1,088,792);($859,144);($642,937);($657,708);($1,154,461);($889,947);($630,696);($901,973);($676,420)
Payroll;Advertising;2021;($1,386,136);($1,379,450);($1,749,461);($2,801,736);($2,056,382);($1,705,969);($1,684,701);($2,697,955);($2,211,580);($1,544,845);($2,647,562);($1,932,499)
Travel & Entertainment;Advertising;2021;($131,523);($161,711);($172,700);($266,573);($230,679);($179,379);($165,428);($315,550);($224,935);($168,787);($240,615);($180,581)
Software Engineering;Advertising;2021;($538,128);($661,583);($625,462);($1,052,988);($890,043);($712,398);($638,422);($1,178,248);($765,041);($607,327);($958,441);($630,264)
Consulting;Advertising;2021;($715,824);($732,141);($899,514);($1,234,506);($1,078,382);($795,168);($921,206);($1,355,263);($1,118,497);($885,131);($1,383,842);($879,683)
Marketing;Advertising;2021;($256,750);($303,363);($358,131);($533,856);($456,091);($307,618);($377,198);($633,324);($439,078);($327,293);($523,231);($381,235)
Sales;Hardware;2021;$22,066,453;$20,860,714;$25,495,502;$35,932,224;$22,760,868;$22,774,557;$23,278,060;$32,627,432;$29,677,832;$15,990,928;$32,021,775;$23,578,146
Human Resources;Hardware;2021;($10,194,386);($8,775,712);($11,649,875);($16,904,734);($10,156,730);($9,308,845);($11,485,654);($13,335,082);($13,144,907);($7,121,589);($14,605,277);($10,457,408)
Commissions;Hardware;2021;($1,020,928);($962,457);($1,256,682);($1,466,447);($1,128,295);($1,097,226);($991,610);($1,523,961);($1,263,413);($756,846);($1,410,397);($1,032,096)
Payroll;Hardware;2021;($2,444,611);($2,272,245);($2,641,782);($4,039,512);($2,624,973);($2,743,062);($2,434,704);($4,055,672);($3,164,216);($1,753,146);($3,557,338);($2,534,072)
Travel & Entertainment;Hardware;2021;($275,381);($210,026);($317,279);($388,332);($242,804);($235,914);($250,881);($404,914);($314,764);($162,558);($362,132);($245,425)
Software Engineering;Hardware;2021;($982,133);($1,031,282);($1,031,427);($1,571,161);($1,047,047);($915,792);($1,130,410);($1,332,285);($1,469,427);($750,448);($1,514,250);($1,098,678)
Consulting;Hardware;2021;($1,125,007);($1,299,618);($1,392,648);($2,179,140);($1,402,417);($1,417,237);($1,366,474);($1,706,626);($1,557,322);($802,577);($1,970,207);($1,423,960)
Marketing;Hardware;2021;($535,336);($469,896);($589,539);($871,134);($466,384);($548,868);($518,774);($742,349);($717,617);($394,682);($746,161);($544,340)
Sales;Software;2022;$78,338,286;$58,034,151;$75,874,351;$87,725,417;$84,878,696;$73,990,027;$95,372,852;$83,104,256;$52,883,151;$61,528,451;$91,089,451;$87,746,916
Human Resources;Software;2022;($32,377,742);($26,379,976);($33,823,729);($41,186,038);($40,605,218);($31,555,193);($46,768,008);($33,951,735);($24,520,783);($24,743,822);($36,760,421);($43,815,665)
Commissions;Software;2022;($3,477,740);($2,612,821);($3,043,000);($4,206,639);($3,635,596);($3,390,988);($4,751,711);($3,385,162);($2,396,080);($2,929,053);($4,196,677);($3,591,506)
Payroll;Software;2022;($8,777,061);($5,956,476);($8,788,853);($9,995,832);($8,550,645);($8,956,466);($11,183,485);($8,871,134);($6,351,611);($7,670,731);($9,827,555);($9,599,585)
Travel & Entertainment;Software;2022;($851,217);($648,182);($827,626);($971,146);($1,009,775);($865,150);($1,184,627);($992,651);($601,399);($727,376);($1,128,223);($1,000,127)
Software Engineering;Software;2022;($3,158,339);($2,728,823);($3,421,161);($4,332,736);($4,162,923);($3,139,829);($4,315,056);($3,425,707);($2,305,237);($2,579,902);($4,086,474);($4,146,068)
Consulting;Software;2022;($4,069,215);($3,519,759);($4,009,533);($4,836,632);($5,257,809);($4,412,376);($4,985,773);($4,979,583);($2,840,712);($3,475,369);($4,584,362);($4,474,219)
Marketing;Software;2022;($1,828,234);($1,342,350);($1,751,692);($2,175,232);($1,829,981);($1,789,035);($1,954,312);($2,007,974);($1,094,268);($1,521,032);($1,827,984);($1,900,742)
Sales;Advertising;2022;$19,584,572;$14,508,538;$17,451,101;$22,808,608;$21,219,674;$19,977,307;$21,935,756;$24,931,277;$15,336,114;$13,536,259;$26,415,941;$20,181,791
Human Resources;Advertising;2022;($8,362,230);($6,091,621);($8,316,059);($10,159,328);($8,624,806);($9,693,159);($9,579,056);($9,973,478);($6,228,310);($6,023,754);($10,593,290);($8,974,298)
Commissions;Advertising;2022;($915,086);($612,941);($823,113);($916,944);($880,691);($867,181);($960,417);($1,047,426);($623,688);($675,831);($1,132,922);($970,183)
Payroll;Advertising;2022;($2,065,945);($1,474,640);($2,117,096);($2,790,604);($2,540,908);($2,325,558);($2,387,390);($3,056,599);($1,798,103);($1,677,834);($3,256,778);($2,424,353)
Travel & Entertainment;Advertising;2022;($240,447);($157,072);($183,016);($241,630);($239,007);($238,586);($266,862);($274,476);($188,419);($144,601);($275,592);($214,592)
Software Engineering;Advertising;2022;($796,397);($610,923);($729,783);($913,075);($1,012,763);($882,471);($1,093,311);($1,137,735);($686,706);($582,618);($1,127,220);($876,587)
Consulting;Advertising;2022;($1,199,233);($811,310);($900,254);($1,164,976);($1,151,854);($1,034,607);($1,285,049);($1,518,350);($866,477);($705,238);($1,549,744);($1,249,787)
Marketing;Advertising;2022;($420,494);($304,699);($395,657);($479,567);($522,262);($404,189);($497,618);($499,475);($321,370);($275,373);($589,065);($494,276)
Sales;Hardware;2022;$30,551,932;$19,731,611;$24,279,792;$35,090,167;$26,312,396;$25,896,509;$31,473,041;$27,424,404;$21,153,260;$24,611,380;$30,059,519;$30,711,421
Human Resources;Hardware;2022;($13,819,091);($9,286,529);($10,933,750);($15,827,962);($12,543,885);($11,801,803);($15,410,493);($12,281,930);($8,667,400);($10,416,735);($12,874,137);($15,312,570)
Commissions;Hardware;2022;($1,369,961);($942,250);($1,067,439);($1,630,125);($1,266,063);($1,202,899);($1,418,412);($1,366,956);($922,278);($1,025,165);($1,394,203);($1,252,426)
Payroll;Hardware;2022;($3,344,503);($2,300,612);($2,595,976);($3,778,056);($3,167,287);($2,947,517);($3,546,969);($2,816,091);($2,552,955);($2,506,235);($3,473,277);($3,338,330)
Travel & Entertainment;Hardware;2022;($338,744);($244,628);($271,723);($354,541);($300,962);($260,911);($327,018);($336,207);($259,047);($300,466);($322,986);($313,283)
Software Engineering;Hardware;2022;($1,468,744);($973,887);($1,032,242);($1,717,271);($1,287,760);($1,206,283);($1,470,777);($1,246,641);($1,025,992);($1,104,742);($1,379,202);($1,486,638)
Consulting;Hardware;2022;($1,633,292);($1,089,178);($1,472,323);($2,057,777);($1,473,412);($1,538,962);($1,683,014);($1,385,482);($1,129,867);($1,300,291);($1,689,964);($1,833,600)
Marketing;Hardware;2022;($661,654);($401,978);($494,551);($729,508);($547,250);($536,085);($699,474);($582,080);($490,459);($554,075);($629,658);($720,295)
Sales;Software;2023;$89,862,727;$99,687,807;$99,378,570;$55,271,910;$83,758,431;$51,637,163;$76,348,472;$66,086,281;$80,081,331;$83,886,832;$95,750,606;$87,036,633
Human Resources;Software;2023;($39,040,130);($39,921,367);($45,671,498);($25,801,859);($39,706,126);($24,992,558);($31,073,960);($27,470,867);($33,718,513);($35,019,709);($45,131,670);($36,256,184)
Commissions;Software;2023;($4,014,208);($4,730,507);($4,051,116);($2,388,743);($3,788,314);($2,165,366);($3,369,016);($2,871,769);($3,799,113);($3,974,617);($4,757,153);($3,920,259)
Payroll;Software;2023;($11,164,524);($11,563,467);($10,590,962);($6,628,891);($10,201,147);($6,336,226);($8,308,362);($8,049,766);($9,552,167);($9,069,604);($11,039,826);($9,218,680)
Travel & Entertainment;Software;2023;($903,966);($1,205,019);($1,010,356);($636,949);($1,015,796);($595,479);($766,242);($750,665);($951,950);($1,022,303);($1,058,471);($1,058,724)
Software Engineering;Software;2023;($3,929,016);($4,147,710);($4,445,473);($2,698,906);($3,896,549);($2,130,630);($3,614,931);($2,980,311);($3,888,537);($3,741,844);($4,366,391);($3,894,310)
Consulting;Software;2023;($5,487,234);($6,089,746);($5,750,018);($3,304,967);($4,958,093);($2,792,253);($4,640,076);($3,464,963);($4,767,705);($4,724,399);($5,050,221);($4,982,632)
Marketing;Software;2023;($1,991,503);($2,443,588);($2,092,138);($1,127,262);($2,079,479);($1,036,044);($1,616,405);($1,643,097);($1,843,345);($1,693,056);($2,018,243);($2,002,915)
Sales;Advertising;2023;$23,364,309;$21,931,318;$19,875,714;$14,923,416;$20,102,023;$14,974,777;$15,269,694;$17,843,296;$20,821,146;$18,455,103;$28,725,182;$23,499,891
Human Resources;Advertising;2023;($9,770,870);($9,977,447);($9,318,571);($7,177,432);($10,040,815);($6,705,472);($6,527,053);($7,338,883);($8,598,615);($8,754,005);($12,960,586);($10,440,153)
Commissions;Advertising;2023;($998,448);($906,026);($816,425);($657,707);($898,385);($723,954);($621,806);($778,231);($920,749);($855,672);($1,292,991);($1,173,809)
Payroll;Advertising;2023;($2,858,483);($2,305,377);($2,131,212);($1,590,327);($2,085,973);($1,703,752);($1,695,552);($1,788,917);($2,327,015);($2,071,414);($3,239,804);($2,746,179)
Travel & Entertainment;Advertising;2023;($285,338);($244,889);($233,148);($166,561);($244,687);($161,345);($178,305);($192,708);($243,644);($226,447);($305,055);($280,685)
Software Engineering;Advertising;2023;($1,031,961);($1,042,954);($920,646);($731,175);($848,528);($736,400);($719,835);($881,777);($847,120);($844,418);($1,401,315);($1,079,897)
Consulting;Advertising;2023;($1,170,898);($1,234,525);($1,172,371);($753,727);($1,051,436);($922,198);($907,610);($961,198);($1,254,550);($945,986);($1,699,048);($1,191,231)
Marketing;Advertising;2023;($566,582);($505,261);($426,912);($323,456);($432,583);($305,741);($310,930);($427,699);($433,517);($412,281);($629,706);($493,044)
Sales;Hardware;2023;$33,249,209;$35,887,611;$29,813,571;$16,581,573;$25,127,529;$18,073,007;$25,958,480;$24,451,924;$24,024,399;$26,843,786;$31,597,700;$34,814,653
Human Resources;Hardware;2023;($14,119,263);($17,879,670);($14,358,261);($7,982,038);($12,177,131);($8,747,974);($11,295,692);($10,246,934);($10,460,207);($11,993,641);($13,770,029);($14,012,331)
Commissions;Hardware;2023;($1,467,109);($1,677,945);($1,447,729);($812,834);($1,060,983);($816,607);($1,241,153);($1,024,413);($1,198,716);($1,237,038);($1,557,750);($1,483,854)
Payroll;Hardware;2023;($3,338,737);($4,402,775);($3,287,314);($1,955,247);($2,711,290);($1,836,954);($2,798,464);($2,507,986);($2,646,561);($2,872,300);($3,683,032);($3,775,393)
Travel & Entertainment;Hardware;2023;($411,779);($419,320);($343,566);($188,670);($300,697);($184,661);($260,440);($303,559);($264,242);($289,776);($330,529);($371,367)
Software Engineering;Hardware;2023;($1,532,046);($1,660,857);($1,397,352);($803,884);($1,095,237);($873,288);($1,260,882);($1,018,393);($1,131,941);($1,242,629);($1,414,584);($1,678,509)
Consulting;Hardware;2023;($1,990,196);($1,966,905);($1,708,842);($925,380);($1,432,833);($927,012);($1,405,783);($1,281,770);($1,499,076);($1,485,770);($1,836,741);($2,063,376)
Marketing;Hardware;2023;($750,337);($885,959);($692,240);($347,870);($614,839);($391,158);($556,893);($578,359);($537,761);($570,088);($781,567);($696,480)
Sales;Software;2023;$77,301,768;$72,875,628;$55,895,001;$89,382,699;$71,319,509;$79,975,474;$69,313,842;$92,091,905;$83,500,769;$59,385,280;$65,641,609;$71,434,962
Human Resources;Software;2023;($35,752,342);($31,441,278);($27,014,782);($41,080,521);($29,816,017);($37,864,346);($29,367,294);($40,634,741);($39,724,316);($26,784,238);($29,537,593);($34,630,314)
Commissions;Software;2023;($3,428,824);($3,228,713);($2,275,853);($4,449,372);($3,285,819);($3,933,173);($2,824,146);($4,226,119);($3,700,895);($2,830,639);($3,243,319);($3,463,190)
Payroll;Software;2023;($7,928,112);($9,106,177);($6,946,518);($9,674,499);($8,601,910);($9,397,456);($8,541,402);($11,276,422);($9,209,392);($7,076,763);($8,202,915);($8,508,411)
Travel & Entertainment;Software;2023;($957,085);($849,920);($682,768);($1,070,786);($869,744);($914,245);($850,332);($1,141,027);($843,495);($681,529);($713,836);($742,136)
Software Engineering;Software;2023;($3,438,085);($3,285,329);($2,789,198);($3,812,133);($3,117,588);($3,550,508);($2,975,224);($4,265,659);($4,086,642);($2,794,161);($2,929,773);($3,103,697)
Consulting;Software;2023;($3,969,897);($4,380,494);($3,366,354);($5,273,562);($3,663,927);($4,416,822);($4,001,007);($4,832,019);($4,909,221);($3,571,834);($3,526,646);($3,835,844)
Marketing;Software;2023;($1,715,892);($1,670,598);($1,349,484);($1,982,340);($1,444,353);($1,884,602);($1,511,649);($1,993,504);($2,075,691);($1,342,675);($1,421,368);($1,684,617)
Sales;Advertising;2023;$17,006,389;$16,032,638;$14,532,700;$20,558,021;$16,403,487;$20,793,623;$16,635,322;$26,706,652;$16,700,154;$17,221,731;$18,379,651;$16,430,041
Human Resources;Advertising;2023;($7,139,124);($6,558,131);($5,982,628);($9,936,401);($7,091,143);($8,326,629);($7,786,192);($11,348,186);($7,370,420);($7,201,133);($9,088,004);($6,637,350)
Commissions;Advertising;2023;($803,688);($739,259);($592,091);($918,521);($663,152);($840,619);($680,646);($1,322,559);($739,411);($813,025);($885,800);($802,943)
Payroll;Advertising;2023;($1,775,134);($1,641,526);($1,648,504);($2,569,037);($1,934,072);($2,504,228);($1,924,690);($3,011,577);($1,750,792);($1,993,161);($1,924,696);($2,012,016)
Travel & Entertainment;Advertising;2023;($184,417);($161,775);($161,976);($244,398);($192,012);($219,272);($167,711);($289,743);($168,764);($197,206);($228,371);($193,657)
Software Engineering;Advertising;2023;($822,293);($701,739);($651,658);($878,628);($764,328);($998,972);($809,874);($1,081,271);($688,376);($770,508);($750,435);($712,111)
Consulting;Advertising;2023;($874,275);($940,682);($892,071);($1,227,751);($1,019,603);($1,199,508);($835,310);($1,647,093);($840,393);($892,880);($991,474);($824,952)
Marketing;Advertising;2023;($388,830);($382,107);($359,149);($508,536);($363,265);($508,077);($339,302);($581,049);($414,044);($386,935);($400,161);($369,293)
Sales;Hardware;2023;$25,509,583;$27,692,739;$21,799,050;$27,708,637;$22,822,243;$24,792,397;$24,952,983;$32,232,167;$30,895,285;$20,190,995;$19,692,483;$26,430,936
Human Resources;Hardware;2023;($11,578,936);($13,283,266);($10,760,123);($12,031,880);($9,652,620);($10,584,647);($12,326,877);($14,959,934);($13,028,093);($8,308,173);($7,944,445);($11,049,601)
Commissions;Hardware;2023;($1,275,330);($1,342,502);($1,005,300);($1,113,375);($1,053,372);($1,175,475);($1,199,747);($1,548,433);($1,366,025);($817,271);($858,372);($1,083,636)
Payroll;Hardware;2023;($3,063,156);($2,978,709);($2,456,071);($2,810,593);($2,589,351);($2,491,701);($3,020,040);($3,652,709);($3,270,893);($2,030,059);($2,371,946);($3,263,794)
Travel & Entertainment;Hardware;2023;($295,046);($288,819);($270,521);($299,399);($259,557);($306,337);($302,042);($335,932);($352,326);($202,497);($209,741);($306,375)
Software Engineering;Hardware;2023;($1,063,042);($1,383,994);($1,005,520);($1,122,436);($1,105,967);($1,152,280);($1,172,596);($1,435,420);($1,381,456);($865,769);($855,963);($1,188,799)
Consulting;Hardware;2023;($1,440,304);($1,476,449);($1,202,261);($1,447,697);($1,227,951);($1,255,275);($1,424,563);($1,942,571);($1,593,839);($1,037,651);($1,097,675);($1,397,647)
Marketing;Hardware;2023;($545,525);($576,243);($534,567);($678,191);($461,374);($509,712);($576,349);($660,401);($684,878);($460,793);($480,324);($657,505)